#CAMI Submission for Taxonomic Profiling
@Version:0.9.2
@SampleID:pensive_curie_3
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain
@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
2	superkingdom	2	Bacteria	94.5927861555
451864	superkingdom	451864	Dikarya	0.000704339435261
2157	superkingdom	2157	Archaea	2.17147847891
4751	superkingdom	4751	Fungi	0.000704339435261
10239	superkingdom	10239	Viruses	1.43333075076
2759	superkingdom	2759	Eukaryota	1.80099593596
5204	phylum	2759|5204	Eukaryota|Basidiomycota	0.325853937402
68525	phylum	2|1224|68525	Bacteria|Proteobacteria|delta/epsilon subdivisions	0.00142918393597
74201	phylum	2|74201	Bacteria|Verrucomicrobia	0.1986565671
1052815	phylum	2|1052815	Bacteria|Candidatus Aerophobetes	0.00571673574389
265317	phylum	2|265317	Bacteria|Candidatus Poribacteria	0.00428755180792
1117	phylum	2|1117	Bacteria|Cyanobacteria	1.18765185079
976	phylum	2|976	Bacteria|Bacteroidetes	7.17593254252
95818	phylum	2|95818	Bacteria|Candidatus Saccharibacteria	0.0100042875518
192989	phylum	2157|192989	Archaea|Nanoarchaeota	0.00142918393597
221216	phylum	2|221216	Bacteria|Candidatus Parcubacteria	0.0114334714878
57723	phylum	2|57723	Bacteria|Acidobacteria	0.20580248678
1383058	phylum	2|1383058	Bacteria|Candidatus Fervidibacteria	0.00142918393597
1224	phylum	2|1224	Bacteria|Proteobacteria	45.3222809776
203682	phylum	2|203682	Bacteria|Planctomycetes	0.264399028155
147538	phylum	2759|4890|147538	Eukaryota|Ascomycota|Pezizomycotina	0.00142918393597
67812	phylum	2|67812	Bacteria|Omnitrophica	0.00571673574389
67817	phylum	2|67817	Bacteria|Candidatus Aminicenantes	0.00714591967986
147537	phylum	2759|4890|147537	Eukaryota|Ascomycota|Saccharomycotina	0.00142918393597
200918	phylum	2|200918	Bacteria|Thermotogae	0.331570673146
4890	phylum	2759|4890	Eukaryota|Ascomycota	1.46634271831
5302	phylum	2759|5204|5302	Eukaryota|Basidiomycota|Agaricomycotina	0.00142918393597
200795	phylum	2|200795	Bacteria|Chloroflexi	0.161497784765
1239	phylum	2|1239	Bacteria|Firmicutes	18.795197942
62680	phylum	2|62680	Bacteria|Marinimicrobia	0.0142918393597
1052197	phylum	2|1052197	Bacteria|Candidatus Calescamantes	0.00428755180792
142187	phylum	2|142187	Bacteria|Candidatus Hydrogenedentes	0.00142918393597
1301283	phylum	2|1117|1301283	Bacteria|Cyanobacteria|Oscillatoriophycideae	0.00142918393597
651137	phylum	2157|651137	Archaea|Thaumarchaeota	0.0728883807346
456828	phylum	2|456828	Bacteria|Cloacimonetes	0.00714591967986
200930	phylum	2|200930	Bacteria|Deferribacteres	0.0686008289267
201174	phylum	2|201174	Bacteria|Actinobacteria	18.1091896527
1297	phylum	2|1297	Bacteria|Deinococcus-Thermus	0.488780906103
203691	phylum	2|203691	Bacteria|Spirochaetes	0.931827926254
200783	phylum	2|200783	Bacteria|Aquificae	0.240102901243
67810	phylum	2|67810	Bacteria|Candidatus Acetothermia	0.00142918393597
28889	phylum	2157|28889	Archaea|Crenarchaeota	0.235815349435
28890	phylum	2157|28890	Archaea|Euryarchaeota	1.87651850793
67820	phylum	2|67820	Bacteria|Candidatus Microgenomates	0.00714591967986
204428	phylum	2|204428	Bacteria|Chlamydiae	0.238673717307
4761	phylum	2759|4761	Eukaryota|Chytridiomycota	0.0114334714878
32066	phylum	2|32066	Bacteria|Fusobacteria	0.414463341432
51967	phylum	2157|51967	Archaea|Candidatus Korarchaeota	0.00285836787195
1293497	phylum	2|1293497	Bacteria|Nitrospinae	0.0800343004145
544448	phylum	2|544448	Bacteria|Tenericutes	1.15335143633
74015	phylum	2|74015	Bacteria|Latescibacteria	0.00571673574389
67814	phylum	2|67814	Bacteria|Caldiserica	0.0242961269115
1462430	phylum	2157|1462430	Archaea|Candidatus Nanohaloarchaeota	0.00571673574389
