#CAMI Submission for Taxonomic Profiling
@Version:0.9.2
@SampleID:pensive_curie_7
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain
@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
2	superkingdom	2	Bacteria	94.6332623503
451864	superkingdom	451864	Dikarya	0.00070512910914
2157	superkingdom	2157	Archaea	2.20705411161
4751	superkingdom	4751	Fungi	0.00070512910914
10239	superkingdom	10239	Viruses	1.42013002581
2759	superkingdom	2759	Eukaryota	1.73814325403
74015	phylum	2|74015	Bacteria|Latescibacteria	0.00715297349108
1224	phylum	2|1224	Bacteria|Proteobacteria	45.6631521724
74201	phylum	2|74201	Bacteria|Verrucomicrobia	0.187407905466
28890	phylum	2157|28890	Archaea|Euryarchaeota	2.0056937669
1117	phylum	2|1117	Bacteria|Cyanobacteria	1.09440494414
976	phylum	2|976	Bacteria|Bacteroidetes	7.3804380481
5204	phylum	2759|5204	Eukaryota|Basidiomycota	0.234617530507
95818	phylum	2|95818	Bacteria|Candidatus Saccharibacteria	0.0114447575857
57723	phylum	2|57723	Bacteria|Acidobacteria	0.203144447147
1383058	phylum	2|1383058	Bacteria|Candidatus Fervidibacteria	0.00143059469822
651137	phylum	2157|651137	Archaea|Thaumarchaeota	0.0500708144376
147538	phylum	2759|4890|147538	Eukaryota|Ascomycota|Pezizomycotina	0.00143059469822
67817	phylum	2|67817	Bacteria|Candidatus Aminicenantes	0.0100141628875
6029	phylum	2759|6029	Eukaryota|Microsporidia	0.00286118939643
192989	phylum	2157|192989	Archaea|Nanoarchaeota	0.00286118939643
363464	phylum	2|363464	Bacteria|Candidatus Gracilibacteria	0.00429178409465
265317	phylum	2|265317	Bacteria|Candidatus Poribacteria	0.00572237879286
28889	phylum	2157|28889	Archaea|Crenarchaeota	0.1602266062
200918	phylum	2|200918	Bacteria|Thermotogae	0.253215261584
4890	phylum	2759|4890	Eukaryota|Ascomycota	1.46492897097
5302	phylum	2759|5204|5302	Eukaryota|Basidiomycota|Agaricomycotina	0.00143059469822
68525	phylum	2|1224|68525	Bacteria|Proteobacteria|delta/epsilon subdivisions	0.00143059469822
200795	phylum	2|200795	Bacteria|Chloroflexi	0.233186935809
1462422	phylum	2157|1462422	Archaea|Candidatus Parvarchaeota	0.00143059469822
1239	phylum	2|1239	Bacteria|Firmicutes	18.6306347549
62680	phylum	2|62680	Bacteria|Marinimicrobia	0.0143059469822
1052197	phylum	2|1052197	Bacteria|Candidatus Calescamantes	0.00429178409465
142187	phylum	2|142187	Bacteria|Candidatus Hydrogenedentes	0.00143059469822
1301283	phylum	2|1117|1301283	Bacteria|Cyanobacteria|Oscillatoriophycideae	0.00143059469822
456828	phylum	2|456828	Bacteria|Cloacimonetes	0.00572237879286
200930	phylum	2|200930	Bacteria|Deferribacteres	0.0686685455144
201174	phylum	2|201174	Bacteria|Actinobacteria	18.0097566558
1297	phylum	2|1297	Bacteria|Deinococcus-Thermus	0.366232242743
200783	phylum	2|200783	Bacteria|Aquificae	0.319022617702
32066	phylum	2|32066	Bacteria|Fusobacteria	0.48926338679
203691	phylum	2|203691	Bacteria|Spirochaetes	0.783965894622
200940	phylum	2|200940	Bacteria|Thermodesulfobacteria	0.0758215190055
67820	phylum	2|67820	Bacteria|Candidatus Microgenomates	0.00715297349108
204428	phylum	2|204428	Bacteria|Chlamydiae	0.297563697229
